,Unnamed: 0,기관,시군구,주소,지역
101,11.0,춘천종합사회복지관(월드비전),강원도 춘천시,강원 춘천시 효자1동 373-90,강원
102,12.0,춘천종합사회복지관,강원도 춘천시,강원도 춘천시 후석로228번길47(후평동),강원
103,13.0,춘천시장애인종합복지관,강원도 춘천시,강원도 춘천시 영서로 1925-21 (석사동)춘천시장애인종합복지관,강원
104,14.0,강원도아동보호전문기관,강원도 춘천시,강원 춘천시 후평1동685-5,강원
105,0.0,춘천시사회복지협의회,강원도 춘천시,"강원 춘천시 낙원동64-2번지, 3층",강원
106,1.0,강원도사회복지협의회,강원도 춘천시,강원도 춘천시 소양강로 1105층(강원도사회복지회관),강원
0,0.0,참좋은요양원,강원도 원주시,강원 원주시 호저면 호저로 660.,강원
1,1.0,사랑나눔의집,강원도 원주시,"강원 원주시 행구로 287 (행구동, 건영아파트)101동 105호",강원
2,2.0,예샘의집,강원도 원주시,"강원 원주시 행구로 102 (봉산동, 동신아파트)104-101",강원
3,3.0,원주농협협동조합,강원도 원주시,강원 원주시 천사로 46 (단계동)원주농협,강원
4,4.0,블레싱홈,강원도 원주시,강원 원주시 소초면 둔둔로 94.,강원
5,5.0,효다함요양원,강원도 원주시,강원 원주시 소초면 둔둔로 181.,강원
6,6.0,강원도아동자립지원시설,강원도 원주시,강원 원주시 백간길 125 (학성동).,강원
7,7.0,원주시장애인가족지원센터,강원도 원주시,"강원 원주시 치악로 2050 (태장동, 원주태장LH 천년나무 5단지).",강원
8,8.0,원주노숙인센터,강원도 원주시,강원 원주시 원일로 250 (학성동).,강원
9,9.0,A+원주한결노인복지센터,강원도 원주시,"강원 원주시 평원로 33 (중앙동), 8층",강원
10,10.0,좋은이웃쉼터(강원서부),강원도 원주시,강원 원주시 남원로469번길 6 (명륜동).,강원
11,11.0,가온요양원,강원도 원주시,강원 원주시 태장둔치길 143-3 (태장동).,강원
12,12.0,일과사랑,강원도 원주시,강원 원주시 호저면 원문로 680-2.,강원
13,13.0,미래지역아동센타,강원도 원주시,강원 원주시 상지대길 25-9 (우산동).,강원
14,14.0,강원도지적발달장애인복지협회 원주시지부,강원도 원주시,강원 원주시 금불1길 24-12 (단계동).,강원
15,0.0,예일요양원,강원도 원주시,강원 원주시 서원대로 190 (단계동)신진빌딩 4층,강원
16,1.0,노픈누리지역아동센터,강원도 원주시,강원도 원주시 문막읍 원문로 18002층,강원
17,2.0,길배움터지역아동센타,강원도 원주시,강원도 원주시 판부면 용수골길 94-9,강원
18,3.0,사)한국지체장애인협회 강원도협회 원주시지회,강원도 원주시,강원도 원주시 북원로2718번길 13 (태장동),강원
19,4.0,푸른초장지역아동센터,강원도 원주시,강원도 원주시 갈머리1길 23 (일산동)푸른초장지역아동센터,강원
20,5.0,숲소리어린이집,강원도 원주시,강원도 원주시 흥업면 남원로 52-2,강원
21,6.0,천사장애인주간보호소,강원도 원주시,강원도 원주시 개륜1길 65 (봉산동),강원
22,7.0,원주사랑마루,강원도 원주시,강원도 원주시 시청로 30 (무실동)5층,강원
23,8.0,사단법인 빛과꿈터 일과사랑,강원도 원주시,강원 원주시 호저면 원문로 680-2일과사랑,강원
24,9.0,경성재가복지센터,강원도 원주시,"강원도 원주시 라옹정길51-6, 2층",강원
25,10.0,소담요양원,강원도 원주시,"강원도 원주시 송림길18, 3층",강원
26,11.0,명륜지역아동센터,강원도 원주시,"강원도 원주시 서원대로308, 현대2차아파트 204-106",강원
27,12.0,성공회원주나눔의집 햇살지역아동센터,강원도 원주시,강원도 원주시 송계안길9,강원
28,13.0,노인요양센터 산고대,강원도 원주시,강원도 원주시 섭재삼보길89,강원
29,14.0,연세로얄요양원,강원도 원주시,강원도 원주시 일산초교길14-18,강원
30,0.0,원주동심요양원,강원도 원주시,"강원 원주시 남산로 180 (학성동)180, 5층",강원
31,1.0,씨알지역아동센터,강원도 원주시,강원도 원주시 남산로48번길38-1,강원
32,2.0,원주실버요양원,강원도 원주시,강원도 원주시 판부면 치악로1139,강원
33,3.0,다시서는집,강원도 원주시,강원도 원주시 가매기길18-12,강원
34,4.0,포도마을장애인보호작업장,강원도 원주시,강원도 원주시 지정면 지정로785,강원
35,5.0,강원남부노인보호전문기관,강원도 원주시,강원 원주시 중앙로 170 (학성동)2층(새한빌딩),강원
36,6.0,행복의집,강원도 원주시,강원도 원주시 관설동 갈촌길86,강원
37,7.0,사랑간호데이케어센터,강원도 원주시,강원도 원주시 개운동 단구로220,강원
38,8.0,가톨릭꿈나무지역아동센터,강원도 원주시,강원도 원주시 봉산동 봉산로103,강원
39,9.0,원주소망요양원,강원도 원주시,강원도 원주시 호저면 매호로87-12,강원
40,10.0,해오름꿈터지역아동센터,강원도 원주시,강원도 원주시 단계동 백간길16,강원
41,11.0,새하늘지역아동센터,강원도 원주시,강원도 원주시 반곡동 유만길16-16,강원
42,12.0,소망주기지역아동센터,강원도 원주시,"강원도 원주시 단계동 원문로175, 2층",강원
43,13.0,동순요양원,강원도 원주시,"강원도 원주시 중앙동 평원로33, 4층",강원
44,14.0,개운지역아동센터,강원도 원주시,강원도 원주시 개운동 남원로634-21,강원
45,0.0,원주노인보금자리2,강원도 원주시,강원도 원주시 우산동 북원로2557,강원
46,1.0,청소년육성회지역아동센터,강원도 원주시,강원도 원주시 개운동 치악로1812,강원
47,2.0,원주실버요양센터,강원도 원주시,강원도 원주시 중앙동 평원로33 중앙메디컬센터 5층,강원
48,3.0,원주시정신건강복지센터,강원도 원주시,강원도 원주시 일산동 원일로139 원주시민문화센터 4층,강원
49,4.0,남원주지역아동센터,강원도 원주시,강원도 원주시 늘품로6 청솔1차A 상가204호,강원
50,5.0,원주시장애인보호작업장,강원도 원주시,강원도 원주시 호저면 광학로89,강원
51,6.0,정토마을,강원도 원주시,강원도 원주시 문막읍 원양1로91-38,강원
52,7.0,해마루장애인단기보호소,강원도 원주시,강원도 원주시 태장동 새동네1길 68-5.,강원
53,8.0,예담요양시설,강원도 원주시,강원도 원주시 평원동 평원안길 38.,강원
54,9.0,하늘손요양원,강원도 원주시,강원도 원주시 학성동 남산로 180대성빌딩 703호,강원
55,10.0,강원서부아동보호전문기관,강원도 원주시,강원도 원주시 남원로469번길 6 (명륜동) 2층(해성빌딩),강원
56,11.0,원주시니어클럽,강원도 원주시,강원도 원주시 치악로1367,강원
57,12.0,성가정요양원,강원도 원주시,강원도 원주시 문막읍 포진리 640-78,강원
58,13.0,선,강원도 원주시,강원도 원주시 솔우물2길37-1,강원
59,14.0,밥상공동체종합사회복지관,강원도 원주시,강원도 원주시 원동  59-20,강원
60,0.0,두울천사들의집,강원도 원주시,강원도 원주시 개륜1길63,강원
61,1.0,사랑복지센터,강원도 원주시,강원도 원주시 학성동  1065-1 대성빌딩6층,강원
62,2.0,보성엔티,강원도 원주시,강원도 원주시 태장공단길38,강원
63,3.0,원주효노인복지센터,강원도 원주시,강원도 원주시 천사로264 (학성동 96-4),강원
64,4.0,원주가톨릭사회복지회,강원도 원주시,강원 원주시 봉산동 753-1,강원
65,5.0,강원도장애인부모연대 원주시지부,강원도 원주시,강원 원주시 관설동청솔5차아파트503-102,강원
66,6.0,원주장애인자립생활센터,강원도 원주시,강원 원주시 명륜2동 826-7,강원
67,7.0,원주삼성어린이집,강원도 원주시,강원도 원주시 개운동남원로 602번길 34,강원
68,8.0,원주가톨릭노인복지센터,강원도 원주시,강원 원주시 봉산동 950,강원
69,9.0,원주시건강가정지원센터,강원도 원주시,강원 원주시 판부면 매봉길 16-18원주시건강가정다문화가족지원센터,강원
70,10.0,예본지역아동센터,강원도 원주시,강원 원주시 우산동 108-4,강원
71,11.0,태장지역아동센터,강원도 원주시,강원 원주시 태장동 1024-17,강원
72,12.0,관설지역아동센터,강원도 원주시,강원 원주시 관설동 1730-12,강원
73,13.0,민토지역아동센터,강원도 원주시,강원 원주시 단계동 794-14,강원
74,14.0,밝음지역아동센터,강원도 원주시,강원 원주시 북원여중길 30-3 (태장동)1362-32,강원
75,0.0,꿈빛나무지역아동센터,강원도 원주시,강원 원주시 관설동 1787-7 2층,강원
76,1.0,천사장애인보호작업장,강원도 원주시,강원 원주시 개륜1길 61 (봉산동).,강원
77,2.0,원주소망주기복지센터,강원도 원주시,강원 원주시 단계동 806,강원
78,3.0,원주노인복지센터,강원도 원주시,강원 원주시 단구동 1486-14,강원
79,4.0,다현요양센터,강원도 원주시,강원 원주시 일산동 193-20 (천사로 200 대륙빌딩),강원
80,5.0,성문노인전문요양원,강원도 원주시,강원 원주시 행구동 127,강원
81,6.0,사랑뜰,강원도 원주시,강원 원주시 관설동 1692-8,강원
82,7.0,원주시다문화가족지원센터,강원도 원주시,강원 원주시 판부면 매봉길 16-181층,강원
83,8.0,(재)가나안복민회 가나안농군학교(원주),강원도 원주시,강원 원주시 신림면 연봉정길 5가나안농군학교,강원
84,9.0,천사들의집,강원도 원주시,강원 원주시 봉산동753-1 5-11,강원
85,10.0,평강의나라,강원도 원주시,강원 원주시 태장2동상록프라자아파트상가 201호,강원
86,11.0,푸른솔지역아동센터,강원도 원주시,강원 원주시 우산동159-13호,강원
87,12.0,베스파아동센터,강원도 원주시,강원도 원주시 명륜동840-9,강원
88,13.0,동원주지역아동센터,강원도 원주시,강원 원주시 봉산동937-6,강원
89,14.0,연세요양센터,강원도 원주시,강원 원주시 남원로 631 (명륜동)5층 연세요양센터,강원
90,0.0,함께하는공동체,강원도 원주시,강원 원주시 문막읍 왕건로 143-7143-7,강원
91,1.0,강원도원주의료원,강원도 원주시,강원 원주시 개운동437번지,강원
92,2.0,원주시아이행복마을,강원도 원주시,강원도 원주시 태장동 북원로2704번길13,강원
93,3.0,문막노인복지센터,강원도 원주시,강원 원주시 문막읍반계리1022-2번지,강원
94,4.0,원주재가노인복지센터,강원도 원주시,강원 원주시 태장둔치길 143-3 (태장동)원주재가노인복지센터,강원
95,5.0,애네아의집,강원도 원주시,강원 원주시 행구동480,강원
96,6.0,마가렛사회복지회 게일홈,강원도 원주시,강원 원주시 일산동 우보삼성아파트3동 207호,강원
97,7.0,갈거리사랑촌,강원도 원주시,강원도 원주시 흥업면 대안로738,강원
98,8.0,천사노인요양원,강원도 원주시,강원 원주시 봉산동753-1번지,강원
99,9.0,상지대학교 사회봉사단,강원도 원주시,강원 원주시 우산동 상지대학교대학원관 1층 학생지원처 사회봉사단,강원
100,10.0,행복공감 장애인보호작업장,강원도 원주시,강원도 원주시 단구동 동부순환로9-8,강원
101,11.0,명륜재가노인복지센터,강원도 원주시,강원 원주시 명륜2동705번지,강원
102,12.0,어린이재단강원지역본부,강원도 원주시,"강원도 원주시 치악로1502, 5층(단구동, 신영빌딩)",강원
103,13.0,민들레집,강원도 원주시,강원 원주시 태장1동 763-8,강원
104,14.0,꿈꾸는나무,강원도 원주시,강원 원주시 단구동1473-4(치악로 1534번길 14-3),강원
105,0.0,작은집,강원도 원주시,강원도 원주시 새동네4길 30 (태장동)작은집,강원
106,1.0,장주기요셉재활원,강원도 원주시,강원 원주시 호저면 광학로 89장주기요셉재활원,강원
107,2.0,사회복지법인 밥상공동체복지재단,강원도 원주시,강원 원주시 일산로 81-2 (원동)밥상공동체복지재단,강원
108,3.0,국민건강보험공단,강원도 원주시,강원도 원주시 건강로 32 (반곡동)국민건강보험공단 경영지원실(12층),강원
109,4.0,원주복지원,강원도 원주시,강원 원주시 흥업면대안리 23,강원
110,5.0,한울타리,강원도 원주시,강원 원주시 지정면안창리 581-1,강원
111,6.0,십시일반,강원도 원주시,강원 원주시 원일로 250 (학성동).,강원
112,7.0,원주아동센터,강원도 원주시,강원 원주시 태장2동1321-1번지,강원
113,8.0,성애원,강원도 원주시,강원 원주시 섭재삼보길 89 (관설동)섭재빌라(성애원),강원
114,9.0,마가렛직업재활원,강원도 원주시,강원 원주시 반곡길 155 (반곡동)마가렛직업재활원,강원
115,10.0,원주시장애인종합복지관,강원도 원주시,강원 원주시 동부순환로 9-8 (단구동)원주시장애인종합복지관,강원
116,11.0,노인요양원 축복의집,강원도 원주시,강원 원주시 소초면 교항리1리 1103-2,강원
117,12.0,행복한원주노인복지센터,강원도 원주시,강원 원주시 학성동223-73 원주사회복지센터 1층,강원
118,13.0,엄마사랑,강원도 원주시,강원 원주시 일산동349-19번지,강원
119,14.0,강원도아동복지센터,강원도 원주시,강원 원주시 판부면 서곡리773-1,강원
120,0.0,(사)강원도농아인협회원주시지부,강원도 원주시,강원도 원주시 중앙로168(학성동) 3층,강원
121,1.0,대한성공회원주나눔의집,강원도 원주시,강원도 원주시 호저면 칠봉로6-6,강원
122,2.0,원주종합사회복지관,강원도 원주시,강원 원주시 태장1동 729-3,강원
123,3.0,원주시노인종합복지관,강원도 원주시,강원도 원주시 동부순환로 9-6 (단구동)원주시노인종합복지관,강원
124,4.0,노인요양원사랑의집,강원도 원주시,강원 원주시 단계동 776-24  도로명주소 원주시 원문로 294번지,강원
125,5.0,자신보육원,강원도 원주시,강원 원주시 태장1동 육판길 1,강원
126,6.0,심향영육아원,강원도 원주시,강원도 원주시 대덕길 133심향영육아원,강원
127,7.0,명륜종합사회복지관,강원도 원주시,강원 원주시 명륜2동 705,강원
128,8.0,원주가톨릭종합사회복지관,강원도 원주시,강원 원주시 봉산동 950,강원
129,9.0,상애원,강원도 원주시,강원도 원주시 행구덕현길108,강원
130,10.0,원주시사회복지협의회,강원도 원주시,강원 원주시 갈머리2길 31 (학성동)1층,강원
0,0.0,민들레노인복지센터,강원도 강릉시,"강원 강릉시 경강로2223번길 15 (포남동, 세화상가아파트).",강원
1,1.0,사천요양원,강원도 강릉시,강원 강릉시 사천면 덕실길 151.,강원
2,2.0,장수마을요양원,강원도 강릉시,강원 강릉시 구정면 금평로 340.,강원
3,3.0,강릉부모사랑2,강원도 강릉시,강원 강릉시 회산로339번길 41 (회산동).,강원
4,4.0,우리사랑노인요양시설,강원도 강릉시,강원 강릉시 강릉대로218번길 20 (임당동).,강원
5,5.0,기쁨있는집,강원도 강릉시,"강원 강릉시 정원로 53-4 (교동, 부영아파트)301동 108호",강원
6,6.0,월정사복지재단 그룹홈,강원도 강릉시,"강원 강릉시 산양길 14 (포남동, 대목맨션)대목5차아파트 1동 502호",강원
7,7.0,실버하우스,강원도 강릉시,강원 강릉시 구정면 와천로 102-42실버하우스,강원
8,8.0,더불어숲지역아동센터,강원도 강릉시,"강원 강릉시 노암길 45 (노암동), 2층",강원
9,9.0,벧엘요양원,강원도 강릉시,강원 강릉시 연곡면 도방길 75-24.,강원
10,10.0,햇살동네,강원도 강릉시,"강원 강릉시 해안로 107 (송정동, 삼익비치맨션)101동 609호",강원
11,11.0,나무와새,강원도 강릉시,"강원 강릉시 명륜로 95-7 (교동, 교동한신아파트)101동 1001호",강원
12,12.0,강릉천사요양원,강원도 강릉시,강원 강릉시 남강초교2길 25 (포남동).,강원
13,13.0,강릉시장애인가족지원센터,강원도 강릉시,"강원 강릉시 성덕포남로152번길 21 (포남동), 2층",강원
14,14.0,늘푸른집공동생활가정,강원도 강릉시,"강원 강릉시 율곡로 2733 (노암동, 노암현대아파트)103-301",강원
15,0.0,에덴하우스요양원,강원도 강릉시,강원도 강릉시 유죽길533번길 7-31 (죽헌동),강원
16,1.0,참살이요양원,강원도 강릉시,강원도 강릉시 강동면 임곡로 687(임곡1리 2반 138번지),강원
17,2.0,강릉중앙재단 강원광역푸드뱅크,강원도 강릉시,강원도 강릉시 난설헌로 12-6 (운정동)사랑관 1층,강원
18,3.0,해드림요양원,강원도 강릉시,강원도 강릉시 구정면 구정중앙로 239해드림요양원,강원
19,4.0,미리내주간보호센터,강원도 강릉시,강원도 강릉시 사천면 방동길 68,강원
20,5.0,사랑모아요양원,강원도 강릉시,강원도 강릉시 경강로1855번안길 34 (홍제동),강원
21,6.0,대한노인회강릉시지회,강원도 강릉시,강원도 강릉시 경강로1956,강원
22,7.0,우리요양원,강원도 강릉시,강원도 강릉시 구정면학산리 557-2,강원
23,8.0,다솜요양원,강원도 강릉시,강원도 강릉시 구정면 새끼미길 68,강원
24,9.0,강릉사랑의뜰안요양원,강원도 강릉시,"강원도 강릉시 율곡로2953번길2-1, 외 1(교동)",강원
25,10.0,효담요양원,강원도 강릉시,강원도 강릉시 홍제동799-2,강원
26,11.0,행복한둥지,강원도 강릉시,강원도 강릉시 경강로1855번안길38,강원
27,12.0,평강요양원,강원도 강릉시,강원도 강릉시 성산면 위촌길178,강원
28,13.0,한결요양원,강원도 강릉시,강원도 강릉시 유산동598-1,강원
29,14.0,두리노인복지센터,강원도 강릉시,"강원도 강릉시 회산로383번길7, 2층",강원
30,0.0,강릉자비노인복지센터,강원도 강릉시,강원도 강릉시 경강로2267번길19,강원
31,1.0,은영노인요양시설,강원도 강릉시,강원도 강릉시 경포로100번길20-1,강원
32,2.0,백세사랑요양원,강원도 강릉시,강원도 강릉시 안현로84-30,강원
33,3.0,바른요양원,강원도 강릉시,강원도 강릉시 유다리길37번길19,강원
34,4.0,기쁨샘,강원도 강릉시,강원도 강릉시 성산면 송두길85-5,강원
35,5.0,참좋은마을,강원도 강릉시,강원도 강릉시 주문진읍 장덕성황길72-58,강원
36,6.0,가정강릉요양원,강원도 강릉시,강원도 강릉시 범일로579번길49-3,강원
37,7.0,금광실버캐슬,강원도 강릉시,강원도 강릉시 구정면 하금광길88,강원
38,8.0,강릉시중독관리통합지원센터,강원도 강릉시,"강원도 강릉시 경강로2279, A(포남동, 강맥빌딩)",강원
39,9.0,좋은요양원,강원도 강릉시,강원도 강릉시 유산골길36,강원
40,10.0,금강의집,강원도 강릉시,"강원 강릉시 경강로2323번길 10 (포남동, 고려맨션)1동 102호",강원
41,11.0,효사랑요양원,강원도 강릉시,강원도 강릉시 박월동 박월길139-1,강원
42,12.0,해누리요양원,강원도 강릉시,강원도 강릉시 사천면 중앙서로312-32  해누리요양원,강원
43,13.0,강릉삼성어린이집,강원도 강릉시,강원도 강릉시 포남동 용지로104번길1,강원
44,14.0,반야의집,강원도 강릉시,"강원도 강릉시 초당동 초당원길26-2, 105동 503호",강원
45,0.0,바라밀의집,강원도 강릉시,"강원도 강릉시 교동 화부산로141번길45, 1007호",강원
46,1.0,강릉자비아동복지센터,강원도 강릉시,강원도 강릉시 포남동 경강로2267번길19,강원
47,2.0,사랑채움노인요양원,강원도 강릉시,강원도 강릉시 노암동 진재골길29번길27-17,강원
48,3.0,양지뜰노인요양원,강원도 강릉시,강원도 강릉시 유산동 유산골길38,강원
49,4.0,강릉반석행복한홈스쿨,강원도 강릉시,강원도 강릉시 입암동 성덕포남로80-16,강원
50,5.0,강릉시니어클럽,강원도 강릉시,강원도 강릉시 병산동 공항길 19강릉시니어클럽,강원
51,6.0,사회복지법인 예당복지재단,강원도 강릉시,강원도 강릉시 왕산면 대기리 465,강원
52,7.0,강릉시장애인민원봉사실,강원도 강릉시,강원 강릉시 교동 934-1 구시청별관,강원
53,8.0,강릉시다문화가족지원센터,강원도 강릉시,"강원도 강릉시 옥가로48, 2층",강원
54,9.0,예당보호작업장,강원도 강릉시,강원 강릉시 옥계면현내리 421-1,강원
55,10.0,강릉장애인자립생활센터,강원도 강릉시,강원 강릉시 용강동 60-1 kt서강릉사옥1층,강원
56,11.0,사단법인 정행공덕회,강원도 강릉시,강원 강릉시 죽헌동 396,강원
57,12.0,나래교실,강원도 강릉시,강원 강릉시 견소동 202-11,강원
58,13.0,강원동부노인보호전문기관,강원도 강릉시,강원 강릉시 포남동 강릉대로 348 축협2층,강원
59,14.0,강릉재가노인종합지원센터,강원도 강릉시,강원 강릉시 포남동 1171-11,강원
60,0.0,하늘아동센터,강원도 강릉시,강원 강릉시 입암동  506-5. 상가 3층,강원
61,1.0,마야의집,강원도 강릉시,"강원도 강릉시 초당동 연당길75, 102-105(초당동, 초당동부아파트)",강원
62,2.0,사랑방이야기,강원도 강릉시,강원도 강릉시 구정면 용금정길 34-5사랑방이야기,강원
63,3.0,강릉부모사랑,강원도 강릉시,강원 강릉시 회산동 회산로339번길 41,강원
64,4.0,참사랑지역아동센터,강원도 강릉시,강원 강릉시 연곡면영진리 343-11,강원
65,5.0,늘푸른마을,강원도 강릉시,강원 강릉시 사천면 송암골길 130늘푸른마을,강원
66,6.0,오대산성모요양원,강원도 강릉시,강원도 강릉시 연곡면 진고개로 907.,강원
67,7.0,갈바리의원,강원도 강릉시,강원 강릉시 홍제동5-2,강원
68,8.0,사임당지역아동센터,강원도 강릉시,강원도 강릉시 새냉이길 36 (홍제동)152-29,강원
69,9.0,해오름식품,강원도 강릉시,강원도 강릉시 사천면 방동길65,강원
70,10.0,사회복지법인 월정사복지재단,강원도 강릉시,강원도 강릉시 신대학길 42 (금학동)2층,강원
71,11.0,행복마을,강원도 강릉시,강원 강릉시 강변로 278 (노암동) 행복마을,강원
72,12.0,강릉시정신건강증진센터,강원도 강릉시,강원 강릉시 강릉대로313번길 6 (포남동)1층,강원
73,13.0,(의)강릉동인병원,강원도 강릉시,강원 강릉시 포남2동1065-2번지,강원
74,14.0,의료법인아나의료재단강릉아나병원,강원도 강릉시,강원 강릉시 옥천동 183~370 326번지,강원
75,0.0,강릉동인병원 참좋은집,강원도 강릉시,강원도 강릉시 강릉대로419번길 42 (포남동)강릉동인병원 응급실 옆 신축건물 3층 참좋은집,강원
76,1.0,애지람,강원도 강릉시,강원 강릉시 사천면 방동길 43-4방동리 415-17,강원
77,2.0,노암복지회,강원도 강릉시,강원 강릉시 노암동 279-9번지,강원
78,3.0,강릉보육원,강원도 강릉시,강원 강릉시 입암동 580-1,강원
79,4.0,성은빌,강원도 강릉시,강원 강릉시 유산동 518-1,강원
80,5.0,강릉시장애인종합복지관,강원도 강릉시,강원 강릉시 사천면 방동리 산 40-4,강원
81,6.0,한빛마을,강원도 강릉시,강원도 강릉시 구정면보램길 42-6,강원
82,7.0,사랑의일터,강원도 강릉시,강원도 강릉시 사천면 방동길 43-2사랑의일터,강원
83,8.0,늘사랑의집,강원도 강릉시,강원 강릉시 강동면 심곡리 심곡봉화길 118 늘사랑의집,강원
84,9.0,평안의집,강원도 강릉시,강원 강릉시 유산동518-2,강원
85,10.0,강원동부아동보호전문기관,강원도 강릉시,강원도 강릉시 교동1891-3 반트휘트니스클럽 B/D 2층,강원
86,11.0,유경노인복지센터,강원도 강릉시,강원도 강릉시 주문진읍 신리천로 222-16유경노인복지센터,강원
87,12.0,강릉효도마을,강원도 강릉시,강원 강릉시 강동면 심곡리3-3,강원
88,13.0,강릉시사회복지협의회,강원도 강릉시,강원도 강릉시 동부시장3길 222층,강원
89,14.0,강릉종합사회복지관,강원도 강릉시,강원 강릉시 입암동강변로 510 (49-9),강원
90,0.0,강릉시립복지원,강원도 강릉시,강원 강릉시 내곡동351번지,강원
0,0.0,묵호노인종합복지관,강원도 동해시,강원 동해시 향로2길 48 (발한동).,강원
1,1.0,새중앙지역아동센터,강원도 동해시,강원 동해시 평릉길 20 (천곡동)402호,강원
2,2.0,강원남부아동보호전문기관,강원도 동해시,강원도 동해시 부곡3길20-9,강원
3,3.0,푸른숲지역아동센터,강원도 동해시,"강원도 동해시 이로동 삼화로11, 2층",강원
4,4.0,꽃망울지역아동센터,강원도 동해시,강원도 동해시 송정동 송정2길21,강원
5,5.0,동해YWCA,강원도 동해시,강원도 동해시 발한동 발한로182,강원
6,6.0,(사)한국지체강원협회동해지회,강원도 동해시,강원도 동해시 송정동 송정로34,강원
7,7.0,해맑은지역아동센터,강원도 동해시,강원도 동해시 평릉동 평원1길141,강원
8,8.0,마중물지역아동센터,강원도 동해시,강원도 동해시 망상동 노봉안길 7,강원
9,9.0,대흥지역아동센터,강원도 동해시,강원도 동해시 효가동 지양길 14,강원
10,10.0,동해이레복지센터,강원도 동해시,"강원도 동해시 천곡동 한섬로61-1, 2층",강원
11,11.0,동해요양원,강원도 동해시,"강원도 동해시 덕골길 76-40 (천곡동)4층, 동해요양원",강원
12,12.0,동해시노인의료복지센터,강원도 동해시,강원 동해시 평릉동 191-8,강원
13,13.0,동해시건강가정지원센터,강원도 동해시,강원 동해시 천곡동 808-1 동해시청 제1별관 1층,강원
14,14.0,행복한지역아동센터,강원도 동해시,강원 동해시 해안로 447 (부곡동)행복한지역아동센터 1층,강원
15,0.0,삼화사노인요양원,강원도 동해시,강원 동해시 단봉동 475-4,강원
16,1.0,동해시장애요양원,강원도 동해시,강원 동해시 천곡동585-1 동해시장애요양원,강원
17,2.0,동해시장애인보호작업장,강원도 동해시,강원 동해시 구호동236-2,강원
18,3.0,동해시정신건강증신센터,강원도 동해시,강원 동해시 청운로 96 (쇄운동)1층 동해시정신건강복지센터.,강원
19,4.0,동해시장애인주간보호소,강원도 동해시,강원도 동해시 한섬로28-12,강원
20,5.0,동해시노인종합복지관복지센터,강원도 동해시,강원도 동해시 감추7길 50 (천곡동)동해시노인종합복지관,강원
21,6.0,우리지역아동센터,강원도 동해시,강원 동해시 쇄운동86-4번지,강원
22,7.0,동해시니어클럽,강원도 동해시,강원 동해시 중앙로 152 (천곡동)태영빌딩 201호 동해시니어클럽,강원
23,8.0,동해이레요양병원,강원도 동해시,강원 동해시 천곡동585번지,강원
24,9.0,이레마을노인요양원,강원도 동해시,강원 동해시 만우동 300번지 7/2,강원
25,10.0,동해시노인요양원,강원도 동해시,강원도 동해시 승지로60-5,강원
26,11.0,월드비전동해종합사회복지관,강원도 동해시,강원 동해시 북평동 전천로 273-10,강원
27,12.0,동해시노인종합복지관,강원도 동해시,강원도 동해시 감추7길 50 (천곡동)동해시노인종합복지관,강원
28,13.0,동해시사회복지협의회,강원도 동해시,강원도 동해시 천곡동 동굴로2 동해시근로자종합복지회관2층 내,강원
0,0.0,태백시실버요양원,강원도 태백시,강원도 태백시 황장목이길25,강원
1,1.0,넓은세상지역아동센터,강원도 태백시,강원도 태백시 번영로287 (황지동59-87)넓은세상지역아동센터,강원
2,2.0,태백시다문화가족지원센터,강원도 태백시,강원도 태백시 해지개길 41 (황지동),강원
3,3.0,태백노인복지센터,강원도 태백시,강원 태백시 황지동 68-17,강원
4,4.0,태백시청소년수련시설,강원도 태백시,강원 태백시 황지동 번영로 224,강원
5,5.0,태백시노인복지관,강원도 태백시,강원 태백시 문곡동 4-9 번지,강원
6,6.0,사)한국농아인협회강원도협회태백시지회,강원도 태백시,"강원 태백시 황지동26, 2층",강원
7,7.0,근로복지공단 태백병원,강원도 태백시,강원 태백시 장성동195 번지,강원
8,8.0,태백가정폭력상담소,강원도 태백시,강원 태백시 장성동 보드미길 40(근로자복지관 2층),강원
9,9.0,꽃때말지역아동센터,강원도 태백시,강원 태백시 장성동178-1번지,강원
10,10.0,햇빛나눔노인복지센터,강원도 태백시,강원 태백시 상장동서학1길23-22,강원
11,11.0,태백시청소년수련관,강원도 태백시,강원 태백시 소도동 331-3번지 태백시청소년수련관,강원
12,12.0,안식의집,강원도 태백시,강원 태백시 황지동 59-8,강원
13,13.0,동점마을아동센터,강원도 태백시,강원 태백시 방터골1길 13-20 (동점동) 72-4,강원
14,14.0,태백장애인종합복지관,강원도 태백시,강원 태백시 금천동 15번지,강원
15,0.0,태백시사회복지협의회,강원도 태백시,강원 태백시 문곡동4-10번지,강원
0,0.0,실버랜드재가노인복지센터,강원도 속초시,"강원 속초시 동해대로 4024 (조양동), 3층 310호(조양동 제일프라자)",강원
1,1.0,청대실버하우스,강원도 속초시,강원 속초시 소평로 162 (조양동)303동 102호,강원
2,2.0,속초시건강가정지원센터,강원도 속초시,강원 속초시 도리원길 5 (노학동)유아교육관 2층,강원
3,3.0,라온실버하우스,강원도 속초시,"강원 속초시 소평로 162 (조양동)308동 101호 (조양동, 부영3단지아파트)",강원
4,4.0,천사노인요양원,강원도 속초시,강원 속초시 원암학사평길 60 (노학동).,강원
